EVTYPE,CLEANEV
Gradient wind,STRONG WIND
GRASS FIRES,WILDFIRE
GROUND BLIZZARD,BLIZZARD
GUSTNADO,THUNDERSTORM WIND
GUSTY WIND,STRONG WIND
GUSTY WIND/HAIL,HAIL
GUSTY WIND/HVY RAIN,STRONG WIND
Gusty wind/rain,STRONG WIND
GUSTY WINDS,STRONG WIND
Gusty Winds,STRONG WIND
Gusty winds,STRONG WIND
HAIL,HAIL
HAIL 0.75,HAIL
HAIL 075,HAIL
HAIL 100,HAIL
HAIL 125,HAIL
HAIL 150,HAIL
HAIL 175,HAIL
HAIL 200,HAIL
HAIL 275,HAIL
HAIL 450,HAIL
HAIL 75,HAIL
HAIL DAMAGE,HAIL
HAIL/WIND,HAIL
HAIL/WINDS,HAIL
HAILSTORM,HAIL
HARD FREEZE,FROST/FREEZE
HAZARDOUS SURF,HIGH SURF
HEAT,EXCESSIVE HEAT
HEAT WAVE,EXCESSIVE HEAT
Heat Wave,EXCESSIVE HEAT
HEAT WAVE DROUGHT,DROUGHT
HEAT WAVES,EXCESSIVE HEAT
HEAVY LAKE SNOW,LAKE-EFFECT SNOW
HEAVY MIX,HEAVY RAIN
HEAVY PRECIPITATION,HEAVY RAIN
HEAVY RAIN,HEAVY RAIN
HEAVY RAIN AND FLOOD,HEAVY RAIN
Heavy Rain/High Surf,HIGH SURF
HEAVY RAIN/LIGHTNING,LIGHTNING
HEAVY RAIN/SEVERE WEATHER,HEAVY RAIN
HEAVY RAIN/SMALL STREAM URBAN,HEAVY RAIN
HEAVY RAIN/SNOW,HEAVY RAIN
HEAVY RAINS,HEAVY RAIN
HEAVY RAINS/FLOODING,FLOOD
HEAVY SEAS,HIGH SURF
HEAVY SHOWER,HEAVY RAIN
HEAVY SNOW,HEAVY SNOW
HEAVY SNOW AND HIGH WINDS,HEAVY SNOW
HEAVY SNOW AND STRONG WINDS,HEAVY RAIN
Heavy snow shower,HEAVY SNOW
HEAVY SNOW SQUALLS,HEAVY RAIN
HEAVY SNOW/BLIZZARD,BLIZZARD
HEAVY SNOW/BLIZZARD/AVALANCHE,HEAVY SNOW
HEAVY SNOW/FREEZING RAIN,HEAVY SNOW
HEAVY SNOW/HIGH WINDS & FLOOD,HEAVY SNOW
HEAVY SNOW/ICE,HEAVY SNOW
HEAVY SNOW/SQUALLS,HEAVY SNOW
HEAVY SNOW/WIND,HEAVY SNOW
HEAVY SNOW/WINTER STORM,HEAVY SNOW
HEAVY SNOWPACK,HEAVY SNOW
HEAVY SNOW-SQUALLS,HEAVY SNOW
HEAVY SURF,HIGH SURF
Heavy Surf,HIGH SURF
Heavy surf and wind,HIGH SURF
HEAVY SURF COASTAL FLOODING,COASTAL FLOOD
HEAVY SURF/HIGH SURF,HIGH SURF
HEAVY SWELLS,HIGH SURF
HIGH,OTHER
HIGH  WINDS,HIGH WIND
HIGH SEAS,COASTAL FLOOD
HIGH SURF,HIGH SURF
High Surf,HIGH SURF
HIGH SWELLS,HIGH SURF
HIGH TIDES,COASTAL FLOOD
HIGH WATER,COASTAL FLOOD
HIGH WAVES,HIGH SURF
HIGH WIND,HIGH WIND
HIGH WIND (G40),HIGH WIND
HIGH WIND 48,HIGH WIND
HIGH WIND AND SEAS,HIGH WIND
HIGH WIND DAMAGE,HIGH WIND
HIGH WIND/BLIZZARD,BLIZZARD
HIGH WIND/HEAVY SNOW,HEAVY SNOW
HIGH WIND/SEAS,MARINE HIGH WIND
HIGH WINDS,HIGH WIND
HIGH WINDS HEAVY RAINS,HEAVY RAIN
HIGH WINDS/,HIGH WIND
HIGH WINDS/COASTAL FLOOD,COASTAL FLOOD
HIGH WINDS/COLD,BLIZZARD
HIGH WINDS/HEAVY RAIN,HEAVY RAIN
HIGH WINDS/SNOW,BLIZZARD
HURRICANE,HURRICANE (TYPHOON)
Hurricane Edouard,HURRICANE (TYPHOON)
HURRICANE EMILY,HURRICANE (TYPHOON)
HURRICANE ERIN,HURRICANE (TYPHOON)
HURRICANE FELIX,HURRICANE (TYPHOON)
HURRICANE GORDON,HURRICANE (TYPHOON)
HURRICANE OPAL,HURRICANE (TYPHOON)
HURRICANE OPAL/HIGH WINDS,HURRICANE (TYPHOON)
HURRICANE/TYPHOON,HURRICANE (TYPHOON)
HURRICANE-GENERATED SWELLS,HURRICANE (TYPHOON)
HVY RAIN,HEAVY RAIN
HYPERTHERMIA/EXPOSURE,EXTREME COLD/WIND CHILL
HYPOTHERMIA,EXTREME COLD/WIND CHILL
Hypothermia/Exposure,EXTREME COLD/WIND CHILL
HYPOTHERMIA/EXPOSURE,EXTREME COLD/WIND CHILL
ICE,FROST/FREEZE
ICE AND SNOW,ICE STORM
ICE FLOES,ICE STORM
ICE JAM,ICE STORM
Ice jam flood (minor,ICE STORM
ICE JAM FLOODING,ICE STORM
ICE ON ROAD,FROST/FREEZE
ICE ROADS,FROST/FREEZE
ICE STORM,ICE STORM
ICE STORM/FLASH FLOOD,ICE STORM
ICE/STRONG WINDS,FROST/FREEZE
ICY ROADS,FROST/FREEZE
Lake Effect Snow,LAKE-EFFECT SNOW
LAKE EFFECT SNOW,LAKE-EFFECT SNOW
LAKE FLOOD,LAKESHORE FLOOD
LAKE-EFFECT SNOW,LAKE-EFFECT SNOW
LAKESHORE FLOOD,LAKESHORE FLOOD
LANDSLIDE,DEBRIS FLOW
LANDSLIDES,DEBRIS FLOW
Landslump,DEBRIS FLOW
LANDSPOUT,TORNADO
LATE SEASON SNOW,WINTER WEATHER
LIGHT FREEZING RAIN,WINTER WEATHER
Light snow,WINTER WEATHER
Light Snow,WINTER WEATHER
LIGHT SNOW,WINTER WEATHER
Light Snowfall,WINTER WEATHER
LIGHTING,LIGHTNING
LIGHTNING,LIGHTNING
LIGHTNING  WAUSEON,LIGHTNING
LIGHTNING AND HEAVY RAIN,LIGHTNING
LIGHTNING AND THUNDERSTORM WIN,LIGHTNING
LIGHTNING FIRE,LIGHTNING
LIGHTNING INJURY,LIGHTNING
LIGHTNING THUNDERSTORM WINDS,LIGHTNING
LIGHTNING.,LIGHTNING
LIGHTNING/HEAVY RAIN,LIGHTNING
LIGNTNING,LIGHTNING
LOW TEMPERATURE,EXTREME COLD/WIND CHILL
MAJOR FLOOD,FLOOD
Marine Accident,OTHER
MARINE HAIL,MARINE HAIL
MARINE HIGH WIND,MARINE HIGH WIND
MARINE MISHAP,OTHER
MARINE STRONG WIND,MARINE STRONG WIND
MARINE THUNDERSTORM WIND,MARINE THUNDERSTORM WIND
MARINE TSTM WIND,MARINE THUNDERSTORM WIND
MICROBURST,THUNDERSTORM WIND
Microburst,THUNDERSTORM WIND
MICROBURST WINDS,THUNDERSTORM WIND
MINOR FLOODING,FLOOD
MIXED PRECIP,WINTER WEATHER
Mixed Precipitation,WINTER WEATHER
MIXED PRECIPITATION,WINTER WEATHER
MUD SLIDE,DEBRIS FLOW
MUD SLIDES,DEBRIS FLOW
MUD SLIDES URBAN FLOODING,DEBRIS FLOW
MUDSLIDE,DEBRIS FLOW
Mudslide,DEBRIS FLOW
MUDSLIDES,DEBRIS FLOW
Mudslides,DEBRIS FLOW
NON TSTM WIND,HIGH WIND
NON-SEVERE WIND DAMAGE,HIGH WIND
NON-TSTM WIND,HIGH WIND
Other,OTHER
OTHER,OTHER
RAIN,HEAVY RAIN
RAIN/SNOW,HEAVY RAIN
RAIN/WIND,HEAVY RAIN
RAINSTORM,HEAVY RAIN
RAPIDLY RISING WATER,FLOOD
RECORD COLD,EXTREME COLD/WIND CHILL
RECORD HEAT,EXCESSIVE HEAT
RECORD RAINFALL,HEAVY RAIN
RECORD SNOW,HEAVY SNOW
RECORD/EXCESSIVE HEAT,EXCESSIVE HEAT
RIP CURRENT,RIP CURRENT
RIP CURRENTS,RIP CURRENT
RIP CURRENTS/HEAVY SURF,RIP CURRENT
RIVER AND STREAM FLOOD,FLOOD
RIVER FLOOD,FLOOD
RIVER FLOODING,FLOOD
River Flooding,FLOOD
ROCK SLIDE,DEBRIS FLOW
ROGUE WAVE,COASTAL FLOOD
ROUGH SEAS,HIGH SURF
ROUGH SURF,HIGH SURF
RURAL FLOOD,FLOOD
SEICHE,SEICHE
SEVERE THUNDERSTORM,THUNDERSTORM WIND
SEVERE THUNDERSTORM WINDS,THUNDERSTORM WIND
SEVERE THUNDERSTORMS,THUNDERSTORM WIND
SEVERE TURBULENCE,THUNDERSTORM WIND
SLEET,SLEET
SLEET/ICE STORM,ICE STORM
SMALL HAIL,HAIL
SMALL STREAM FLOOD,FLOOD
SNOW,HEAVY SNOW
Snow,HEAVY SNOW
SNOW ACCUMULATION,HEAVY SNOW
SNOW AND HEAVY SNOW,HEAVY SNOW
SNOW AND ICE,HEAVY SNOW
SNOW AND ICE STORM,ICE STORM
SNOW FREEZING RAIN,HAIL
SNOW SQUALL,BLIZZARD
SNOW SQUALLS,BLIZZARD
Snow Squalls,BLIZZARD
SNOW/ BITTER COLD,BLIZZARD
SNOW/ ICE,ICE STORM
SNOW/BLOWING SNOW,BLIZZARD
SNOW/COLD,HEAVY SNOW
SNOW/FREEZING RAIN,HAIL
SNOW/HEAVY SNOW,HEAVY SNOW
SNOW/HIGH WINDS,BLIZZARD
SNOW/ICE,ICE STORM
SNOW/ICE STORM,ICE STORM
SNOW/SLEET,SLEET
SNOW/SLEET/FREEZING RAIN,SLEET
SNOWMELT FLOODING,FLOOD
STORM FORCE WINDS,HIGH WIND
STORM SURGE,STORM SURGE/TIDE
STORM SURGE/TIDE,STORM SURGE/TIDE
STRONG WIND,STRONG WIND
Strong Wind,STRONG WIND
STRONG WINDS,STRONG WIND
Strong Winds,STRONG WIND
THUDERSTORM WINDS,THUNDERSTORM WIND
THUNDEERSTORM WINDS,THUNDERSTORM WIND
THUNDERESTORM WINDS,THUNDERSTORM WIND
THUNDERSNOW,BLIZZARD
THUNDERSTORM,THUNDERSTORM WIND
THUNDERSTORM  WINDS,THUNDERSTORM WIND
THUNDERSTORM DAMAGE TO,THUNDERSTORM WIND
THUNDERSTORM HAIL,HAIL
THUNDERSTORM WIND,THUNDERSTORM WIND
THUNDERSTORM WIND (G40),THUNDERSTORM WIND
THUNDERSTORM WIND 60 MPH,THUNDERSTORM WIND
THUNDERSTORM WIND 65 MPH,THUNDERSTORM WIND
THUNDERSTORM WIND 65MPH,THUNDERSTORM WIND
THUNDERSTORM WIND 98 MPH,THUNDERSTORM WIND
THUNDERSTORM WIND G50,THUNDERSTORM WIND
THUNDERSTORM WIND G52,THUNDERSTORM WIND
THUNDERSTORM WIND G55,THUNDERSTORM WIND
THUNDERSTORM WIND G60,THUNDERSTORM WIND
THUNDERSTORM WIND TREES,THUNDERSTORM WIND
THUNDERSTORM WIND.,THUNDERSTORM WIND
THUNDERSTORM WIND/ TREE,THUNDERSTORM WIND
THUNDERSTORM WIND/ TREES,THUNDERSTORM WIND
THUNDERSTORM WIND/AWNING,THUNDERSTORM WIND
THUNDERSTORM WIND/HAIL,THUNDERSTORM WIND
THUNDERSTORM WIND/LIGHTNING,THUNDERSTORM WIND
THUNDERSTORM WINDS,THUNDERSTORM WIND
THUNDERSTORM WINDS 13,THUNDERSTORM WIND
THUNDERSTORM WINDS 63 MPH,THUNDERSTORM WIND
THUNDERSTORM WINDS AND,THUNDERSTORM WIND
THUNDERSTORM WINDS G60,THUNDERSTORM WIND
THUNDERSTORM WINDS HAIL,THUNDERSTORM WIND
THUNDERSTORM WINDS LIGHTNING,THUNDERSTORM WIND
THUNDERSTORM WINDS.,THUNDERSTORM WIND
THUNDERSTORM WINDS/ FLOOD,THUNDERSTORM WIND
THUNDERSTORM WINDS/FLOODING,THUNDERSTORM WIND
THUNDERSTORM WINDS/FUNNEL CLOU,THUNDERSTORM WIND
THUNDERSTORM WINDS/HAIL,THUNDERSTORM WIND
THUNDERSTORM WINDS53,THUNDERSTORM WIND
THUNDERSTORM WINDSHAIL,THUNDERSTORM WIND
THUNDERSTORM WINDSS,THUNDERSTORM WIND
THUNDERSTORM WINS,THUNDERSTORM WIND
THUNDERSTORMS,THUNDERSTORM WIND
THUNDERSTORMS WIND,THUNDERSTORM WIND
THUNDERSTORMS WINDS,THUNDERSTORM WIND
THUNDERSTORMW,THUNDERSTORM WIND
THUNDERSTORMWINDS,THUNDERSTORM WIND
THUNDERSTROM WIND,THUNDERSTORM WIND
THUNDERTORM WINDS,THUNDERSTORM WIND
THUNERSTORM WINDS,THUNDERSTORM WIND
TIDAL FLOODING,FLOOD
Tidal Flooding,FLOOD
TORNADO,TORNADO
TORNADO F0,TORNADO
TORNADO F1,TORNADO
TORNADO F2,TORNADO
TORNADO F3,TORNADO
TORNADOES,TORNADO
"TORNADOES, TSTM WIND, HAIL",TORNADO
TORNDAO,TORNADO
Torrential Rainfall,HEAVY RAIN
TROPICAL DEPRESSION,TROPICAL STORM
TROPICAL STORM,TROPICAL STORM
TROPICAL STORM ALBERTO,TROPICAL STORM
TROPICAL STORM DEAN,TROPICAL STORM
TROPICAL STORM GORDON,TROPICAL STORM
TROPICAL STORM JERRY,TROPICAL STORM
TSTM WIND,THUNDERSTORM WIND
Tstm Wind,THUNDERSTORM WIND
TSTM WIND  (G45),THUNDERSTORM WIND
TSTM WIND (41),THUNDERSTORM WIND
TSTM WIND (G35),THUNDERSTORM WIND
TSTM WIND (G40),THUNDERSTORM WIND
TSTM WIND (G45),THUNDERSTORM WIND
TSTM WIND 40,THUNDERSTORM WIND
TSTM WIND 45,THUNDERSTORM WIND
TSTM WIND 55,THUNDERSTORM WIND
TSTM WIND 65),THUNDERSTORM WIND
TSTM WIND AND LIGHTNING,THUNDERSTORM WIND
TSTM WIND DAMAGE,THUNDERSTORM WIND
TSTM WIND G45,THUNDERSTORM WIND
TSTM WIND G58,THUNDERSTORM WIND
TSTM WIND/HAIL,THUNDERSTORM WIND
TSTM WINDS,THUNDERSTORM WIND
TSTMW,THUNDERSTORM WIND
TSUNAMI,TSUNAMI
TUNDERSTORM WIND,THUNDERSTORM WIND
TYPHOON,HURRICANE (TYPHOON)
Unseasonable Cold,EXTREME COLD/WIND CHILL
UNSEASONABLY COLD,EXTREME COLD/WIND CHILL
UNSEASONABLY WARM,HEAT
UNSEASONABLY WARM AND DRY,HEAT
UNSEASONAL RAIN,HEAVY RAIN
URBAN AND SMALL,OTHER
URBAN AND SMALL STREAM FLOODIN,LAKESHORE FLOOD
URBAN FLOOD,FLOOD
URBAN FLOODING,FLOOD
URBAN FLOODS,FLOOD
URBAN SMALL,FLOOD
URBAN/SMALL STREAM,FLOOD
URBAN/SMALL STREAM FLOOD,FLOOD
URBAN/SML STREAM FLD,FLOOD
VOLCANIC ASH,VOLCANIC ASH
WARM WEATHER,HEAT
WATERSPOUT,WATERSPOUT
WATERSPOUT-,WATERSPOUT
WATERSPOUT TORNADO,WATERSPOUT
WATERSPOUT/ TORNADO,WATERSPOUT
WATERSPOUT/TORNADO,WATERSPOUT
WATERSPOUT-TORNADO,WATERSPOUT
WET MICROBURST,WATERSPOUT
Whirlwind,THUNDERSTORM WIND
WHIRLWIND,THUNDERSTORM WIND
WILD FIRES,WILDFIRE
WILD/FOREST FIRE,WILDFIRE
WILD/FOREST FIRES,WILDFIRE
WILDFIRE,WILDFIRE
WILDFIRES,WILDFIRE
WIND,HIGH WIND
Wind,HIGH WIND
WIND AND WAVE,HIGH WIND
WIND DAMAGE,HIGH WIND
Wind Damage,HIGH WIND
WIND STORM,HIGH WIND
WIND/HAIL,HAIL
WINDS,HIGH WIND
WINTER STORM,WINTER STORM
WINTER STORM HIGH WINDS,WINTER STORM
WINTER STORMS,WINTER STORM
WINTER WEATHER,WINTER WEATHER
WINTER WEATHER MIX,WINTER WEATHER
WINTER WEATHER/MIX,WINTER WEATHER
Wintry Mix,WINTER WEATHER
WINTRY MIX,WINTER WEATHER
